slovo, a, b, c, d, e, f
C, 66.8, 66.73, 80.83, 84.95, 133.6, 6.497
B, 6.33, 25.1, 18.3, 83.67, 12.66, 13.649
B, 54.73, 72.3, 46.43, 20.63, 109.46, 8.774
B, 42.63, 42.16, 74.23, 46.39, 85.26, 5.96
A, 90.22, 100.09, 81.38, 80.31, 180.44, 90.22
B, 90.94, 4.1, 48.36, 54.02, 181.88, 5.037
A, 81.74, 83.23, 91.91, 8.58, 163.48, 81.74
B, 76.16, 30.39, 45.54, 37.2, 152.32, 5.437
A, 84.68, 34.28, 17.42, 68.06, 169.36, 84.68
A, 8.05, 85.63, 88.55, 56.46, 16.1, 8.05
C, 96.9, 18.51, 63.48, 51.18, 193.8, 5.091
C, 21.71, 83.53, 93.06, 86.6, 43.42, 11.468
B, 78.69, 4.1, 79.58, 51.64, 157.38, 5.037
A, 5.94, 53.2, 44.12, 42.8, 11.88, 5.94
A, 47.99, 56.59, 78.9, 31.34, 95.98, 47.99
A, 62.74, 94.38, 81.27, 44.43, 125.48, 62.74
C, 83.81, 61.37, 91.13, 74.26, 167.62, 5.885
C, 53.0, 91.72, 79.32, 21.35, 106.0, 8.797
C, 1.65, 18.57, 65.82, 64.22, 3.3, 10.129
B, 2.99, 38.05, 47.73, 31.47, 5.98, 22.071
A, 43.03, 46.17, 36.84, 7.96, 86.06, 43.03
B, 28.6, 12.22, 37.67, 67.14, 57.2, 5.228
C, 92.16, 17.98, 38.31, 82.16, 184.32, 5.145
A, 49.15, 80.88, 73.67, 42.95, 98.3, 49.15
B, 8.38, 24.04, 91.2, 14.33, 16.76, 6.236
B, 15.08, 77.84, 69.2, 62.58, 30.16, 15.765
C, 100.7, 44.9, 98.86, 6.41, 201.4, 5.349
A, 77.43, 9.15, 41.23, 57.52, 154.86, 77.43
A, 82.74, 58.7, 79.54, 68.96, 165.48, 82.74
A, 81.45, 50.43, 6.66, 69.14, 162.9, 81.45
A, 88.47, 24.08, 6.57, 47.82, 176.94, 88.47
B, 71.41, 77.41, 73.72, 96.78, 142.82, 7.109
C, 26.04, 22.97, 81.84, 42.63, 52.08, 5.403
A, 88.31, 100.51, 49.05, 83.44, 176.62, 88.31
B, 12.03, 62.44, 58.73, 57.1, 24.06, 14.922
B, 73.41, 68.66, 42.17, 95.27, 146.82, 7.774
A, 77.04, 8.88, 73.93, 80.52, 154.08, 77.04
C, 8.59, 42.34, 16.25, 89.55, 17.18, 26.856
C, 27.69, 70.05, 15.28, 39.12, 55.38, 26.173
B, 2.15, 96.03, 94.82, 77.08, 4.3, 91.38
A, 58.15, 55.89, 20.22, 54.98, 116.3, 58.15
C, 61.44, 54.58, 71.45, 22.49, 122.88, 6.199
B, 10.16, 56.77, 41.05, 76.44, 20.32, 18.708
B, 60.98, 46.7, 88.24, 9.17, 121.96, 5.702
A, 42.39, 13.84, 2.93, 49.3, 84.78, 42.39
C, 49.09, 96.35, 30.13, 88.17, 98.18, 16.987
C, 14.48, 76.53, 17.39, 88.67, 28.96, 47.996
C, 77.31, 9.91, 76.56, 99.25, 154.62, 5.037
C, 88.59, 32.58, 84.52, 76.3, 177.18, 5.236
A, 73.76, 87.33, 3.45, 66.86, 147.52, 73.76
A, 25.7, 7.58, 79.71, 100.52, 51.4, 25.7
C, 82.05, 79.37, 100.53, 26.18, 164.1, 6.42
B, 76.78, 67.62, 86.07, 8.94, 153.56, 6.259
B, 68.32, 14.32, 70.88, 7.7, 136.64, 5.073
B, 98.93, 10.08, 96.13, 21.78, 197.86, 5.026
C, 6.31, 86.22, 68.44, 57.75, 12.62, 37.374
B, 97.46, 3.18, 67.48, 86.82, 194.92, 5.039
C, 67.86, 10.9, 87.68, 29.9, 135.72, 5.043
B, 33.23, 3.99, 68.6, 77.19, 66.46, 5.088
A, 56.55, 22.16, 10.53, 87.65, 113.1, 56.55
C, 17.56, 63.12, 82.95, 2.3, 35.12, 9.928
A, 91.46, 18.64, 44.88, 91.11, 182.92, 91.46
A, 1.82, 24.04, 87.55, 61.01, 3.64, 1.82
C, 51.34, 66.75, 13.95, 19.75, 102.68, 16.281
C, 53.33, 2.03, 75.95, 72.35, 106.66, 5.1
A, 72.87, 4.93, 17.61, 100.75, 145.74, 72.87
A, 61.98, 23.62, 16.36, 68.54, 123.96, 61.98
B, 2.2, 40.25, 73.08, 42.49, 4.4, 22.117
A, 43.49, 68.66, 40.75, 3.53, 86.98, 43.49
A, 41.32, 58.85, 51.32, 77.73, 82.64, 41.32
A, 90.83, 27.53, 76.86, 92.16, 181.66, 90.83
B, 61.18, 61.74, 19.05, 73.39, 122.36, 10.867
B, 4.49, 50.8, 33.07, 67.9, 8.98, 35.354
C, 88.95, 12.67, 16.52, 18.52, 177.9, 5.17
B, 60.95, 71.38, 26.92, 85.18, 121.9, 10.686
C, 6.55, 34.32, 13.31, 39.5, 13.1, 27.336
B, 91.92, 99.74, 21.77, 21.24, 183.84, 14.54
B, 14.55, 7.73, 49.36, 22.25, 29.1, 5.203
A, 19.91, 42.92, 71.87, 83.11, 39.82, 19.91
A, 35.16, 52.38, 54.02, 90.22, 70.32, 35.16
A, 50.06, 67.5, 95.08, 62.73, 100.12, 50.06
A, 36.1, 54.95, 97.08, 73.91, 72.2, 36.1
A, 71.4, 57.72, 97.97, 67.42, 142.8, 71.4
A, 18.73, 56.73, 89.09, 70.87, 37.46, 18.73
B, 73.86, 85.73, 52.13, 51.36, 147.72, 8.587
B, 25.15, 75.29, 93.87, 48.89, 50.3, 9.433
B, 3.75, 86.01, 47.61, 83.07, 7.5, 82.886
C, 18.04, 31.35, 27.89, 28.49, 36.08, 8.2
C, 95.4, 71.61, 43.79, 45.93, 190.8, 7.249
B, 69.8, 96.98, 77.89, 11.28, 139.6, 8.308
C, 40.61, 3.91, 97.14, 65.12, 81.22, 5.07
B, 48.85, 36.78, 10.93, 26.43, 97.7, 9.229
B, 54.51, 50.08, 60.01, 38.78, 109.02, 6.338
A, 83.31, 47.71, 8.21, 38.19, 166.62, 83.31
B, 36.26, 56.68, 37.5, 68.46, 72.52, 9.19
A, 33.95, 83.22, 3.48, 55.62, 67.9, 33.95
A, 41.0, 73.47, 55.51, 94.78, 82.0, 41.0
B, 99.81, 80.28, 2.26, 44.51, 199.62, 58.17
B, 16.53, 26.74, 24.34, 77.65, 33.06, 7.854
C, 71.99, 23.81, 69.99, 48.91, 143.98, 5.183
C, 14.02, 59.1, 1.03, 18.83, 28.04, 435.985
A, 38.88, 66.67, 75.13, 98.02, 77.76, 38.88
B, 12.53, 52.65, 17.76, 64.06, 25.06, 26.851
A, 3.0, 13.29, 86.77, 79.46, 6.0, 3.0
C, 79.33, 81.28, 94.82, 74.68, 158.66, 6.639
B, 24.73, 84.92, 41.3, 53.51, 49.46, 18.248
C, 100.56, 93.83, 58.86, 77.77, 201.12, 7.831
B, 50.68, 19.57, 66.17, 69.76, 101.36, 5.185
B, 83.75, 93.18, 93.94, 10.03, 167.5, 7.099
A, 53.36, 25.54, 13.35, 10.31, 106.72, 53.36
C, 16.28, 92.02, 98.18, 58.49, 32.56, 15.057
B, 89.79, 28.78, 67.53, 91.67, 179.58, 5.224
A, 66.62, 53.33, 65.92, 52.64, 133.24, 66.62
A, 36.71, 91.93, 39.16, 12.27, 73.42, 36.71
B, 84.01, 47.29, 42.99, 69.81, 168.02, 6.072
B, 89.14, 38.85, 38.5, 7.16, 178.28, 5.742
C, 75.28, 15.54, 52.02, 86.01, 150.56, 5.101
B, 93.22, 79.24, 98.55, 29.62, 186.44, 6.271
B, 34.86, 88.89, 81.16, 71.24, 69.72, 10.275
A, 38.86, 32.58, 47.91, 54.08, 77.72, 38.86
C, 92.42, 67.48, 38.71, 95.32, 184.84, 7.313
B, 78.83, 57.86, 97.68, 84.3, 157.66, 5.775
B, 49.31, 3.98, 47.64, 64.99, 98.62, 5.064
C, 73.53, 21.03, 23.87, 35.93, 147.06, 5.396
B, 91.06, 92.02, 58.53, 56.38, 182.12, 8.015
C, 45.41, 34.48, 86.97, 67.08, 90.82, 5.504
C, 2.25, 51.7, 66.04, 89.96, 4.5, 36.535
C, 40.85, 17.69, 21.31, 2.49, 81.7, 5.556
B, 46.58, 79.6, 97.68, 25.34, 93.16, 7.591
B, 56.37, 62.11, 34.69, 23.2, 112.74, 8.543
A, 71.74, 30.73, 74.13, 3.04, 143.48, 71.74
C, 57.62, 39.55, 14.63, 53.7, 115.24, 8.129
A, 2.68, 35.72, 44.42, 86.32, 5.36, 2.68
B, 65.54, 27.86, 30.15, 26.78, 131.08, 5.636
B, 38.73, 100.18, 36.0, 53.58, 77.46, 18.823
B, 56.51, 75.58, 29.21, 45.25, 113.02, 11.387
A, 19.49, 75.03, 38.24, 28.94, 38.98, 19.49
A, 55.53, 82.48, 39.36, 88.03, 111.06, 55.53
B, 60.44, 83.29, 54.8, 74.93, 120.88, 8.92
A, 48.17, 13.8, 4.73, 31.65, 96.34, 48.17
C, 7.24, 38.8, 92.09, 87.23, 14.48, 8.826
A, 24.01, 18.84, 15.05, 56.58, 48.02, 24.01
B, 83.91, 6.59, 77.16, 64.83, 167.82, 5.029
C, 78.94, 14.72, 36.25, 49.29, 157.88, 5.121
B, 97.26, 26.3, 47.77, 24.87, 194.52, 5.241
C, 89.22, 82.9, 16.21, 64.51, 178.44, 13.884
A, 18.56, 95.19, 17.11, 38.51, 37.12, 18.56
A, 28.91, 30.73, 30.15, 62.58, 57.82, 28.91
A, 73.86, 26.98, 35.28, 24.86, 147.72, 73.86
A, 87.26, 61.92, 64.39, 70.59, 174.52, 87.26
B, 33.1, 12.13, 73.54, 34.25, 66.2, 5.112
A, 51.89, 3.11, 38.7, 42.81, 103.78, 51.89
B, 71.67, 44.2, 53.82, 82.52, 143.34, 5.87
B, 84.07, 85.86, 4.76, 82.83, 168.14, 39.609
A, 73.33, 46.06, 31.54, 98.45, 146.66, 73.33
A, 86.75, 13.23, 80.81, 66.07, 173.5, 86.75
C, 88.88, 100.01, 29.42, 10.73, 177.76, 12.344
A, 43.25, 76.58, 37.04, 48.64, 86.5, 43.25
B, 43.62, 99.14, 11.47, 51.0, 87.24, 42.665
A, 30.68, 47.09, 47.33, 52.79, 61.36, 30.68
C, 90.44, 40.09, 76.73, 79.78, 180.88, 5.394
C, 63.39, 31.14, 28.54, 69.6, 126.78, 5.878
B, 37.89, 68.48, 20.68, 78.55, 75.78, 15.893
B, 69.07, 38.38, 36.57, 76.87, 138.14, 5.982
B, 27.5, 99.69, 99.79, 76.78, 55.0, 11.952
A, 95.97, 98.93, 19.21, 11.01, 191.94, 95.97
A, 40.22, 1.25, 14.77, 68.39, 80.44, 40.22
C, 92.02, 86.92, 35.08, 43.67, 184.04, 9.406
C, 10.31, 91.26, 63.43, 51.12, 20.62, 29.141
A, 80.59, 21.41, 73.09, 49.26, 161.18, 80.59
C, 29.94, 10.78, 13.61, 44.82, 59.88, 5.437
A, 89.56, 46.0, 41.82, 46.4, 179.12, 89.56
A, 10.44, 71.25, 97.03, 69.36, 20.88, 10.44
B, 97.33, 93.25, 17.22, 9.43, 194.66, 14.862
B, 46.46, 1.31, 7.56, 74.45, 92.92, 5.27
B, 14.8, 71.5, 3.04, 93.58, 29.6, 212.999
A, 8.99, 86.85, 93.96, 2.75, 17.98, 8.99
A, 61.41, 76.27, 3.78, 55.26, 122.82, 61.41
B, 63.86, 32.51, 96.94, 61.63, 127.72, 5.285
A, 61.01, 82.59, 22.49, 67.73, 122.02, 61.01
B, 36.14, 25.2, 48.0, 29.45, 72.28, 5.59
A, 62.42, 29.68, 76.67, 46.6, 124.84, 62.42
A, 40.99, 47.67, 92.73, 25.11, 81.98, 40.99
B, 77.09, 61.36, 15.3, 67.82, 154.18, 10.721
C, 99.95, 28.53, 46.65, 75.66, 199.9, 5.285
A, 99.65, 74.94, 63.33, 11.5, 199.3, 99.65
A, 27.4, 85.06, 71.92, 74.54, 54.8, 27.4
B, 1.92, 9.67, 50.27, 40.76, 3.84, 6.877
B, 80.97, 67.86, 34.89, 37.42, 161.94, 7.964
A, 95.5, 58.04, 15.78, 11.14, 191.0, 95.5
C, 20.91, 41.0, 26.31, 66.32, 41.82, 10.182
A, 51.81, 66.65, 85.03, 65.77, 103.62, 51.81
C, 90.03, 90.84, 27.73, 7.66, 180.06, 11.26
C, 24.75, 59.71, 22.24, 54.69, 49.5, 16.565
B, 75.64, 1.11, 85.79, 77.56, 151.28, 5.13
C, 12.19, 38.27, 3.56, 44.04, 24.38, 61.572
A, 45.84, 27.07, 66.75, 38.7, 91.68, 45.84
A, 85.14, 31.15, 8.28, 30.38, 170.28, 85.14
A, 92.81, 26.55, 59.1, 83.22, 185.62, 92.81
A, 47.6, 54.42, 8.37, 79.5, 95.2, 47.6
B, 34.52, 76.51, 5.05, 2.13, 69.04, 67.064
C, 80.67, 6.94, 5.35, 14.26, 161.34, 5.192
B, 10.86, 17.94, 20.13, 85.3, 21.72, 7.27
C, 91.66, 41.29, 90.28, 73.57, 183.32, 5.352
C, 96.89, 66.35, 43.01, 39.42, 193.78, 6.915
B, 23.92, 33.77, 2.17, 7.35, 47.84, 41.189
B, 70.65, 41.82, 35.16, 72.51, 141.3, 6.199
C, 87.2, 95.92, 53.33, 95.51, 174.4, 8.777
B, 4.45, 36.88, 21.28, 12.16, 8.9, 29.001
C, 16.42, 93.41, 30.1, 91.07, 32.84, 38.568
A, 89.55, 44.28, 54.73, 29.59, 179.1, 89.55
C, 82.75, 77.11, 71.08, 15.44, 165.5, 6.872
B, 74.07, 4.91, 14.98, 86.06, 148.14, 5.068
B, 80.32, 67.17, 42.82, 59.72, 160.64, 7.382
A, 57.85, 53.22, 47.19, 20.1, 115.7, 57.85
A, 26.33, 99.16, 20.95, 73.93, 52.66, 26.33
A, 74.93, 10.32, 24.98, 72.14, 149.86, 74.93
B, 26.23, 28.28, 33.38, 5.72, 52.46, 6.481
C, 85.94, 23.79, 49.05, 26.93, 171.88, 5.216
A, 17.06, 53.0, 38.72, 3.92, 34.12, 17.06
C, 89.74, 16.12, 40.83, 54.83, 179.48, 5.114
C, 85.58, 32.51, 90.05, 30.14, 171.16, 5.228
C, 82.41, 48.06, 43.06, 77.49, 164.82, 6.129
B, 44.53, 21.44, 78.82, 100.02, 89.06, 5.213
A, 71.67, 100.8, 14.66, 18.3, 143.34, 71.67
C, 10.43, 62.61, 62.93, 81.25, 20.86, 15.744
C, 39.85, 43.28, 55.69, 65.2, 79.7, 6.445
C, 9.98, 37.85, 52.73, 87.43, 19.96, 9.581
A, 80.06, 81.71, 88.95, 79.65, 160.12, 80.06
A, 44.19, 15.88, 30.38, 75.25, 88.38, 44.19
C, 8.17, 91.56, 67.13, 25.79, 16.34, 33.989
C, 88.24, 56.7, 53.63, 83.96, 176.48, 6.206
B, 46.49, 31.19, 91.63, 98.41, 92.98, 5.379
C, 28.62, 83.59, 89.57, 28.26, 57.24, 10.105
C, 47.68, 86.97, 5.37, 49.08, 95.36, 60.599
B, 1.64, 5.2, 85.21, 79.21, 3.28, 6.419
A, 88.56, 54.66, 86.98, 13.89, 177.12, 88.56
A, 28.83, 52.77, 97.99, 38.34, 57.66, 28.83
B, 42.69, 62.08, 76.31, 94.75, 85.38, 7.127
C, 75.96, 17.67, 21.53, 32.51, 151.92, 5.297
B, 26.29, 57.3, 13.68, 98.29, 52.58, 21.203
A, 17.22, 36.33, 75.99, 3.46, 34.44, 17.22
A, 28.73, 11.68, 55.69, 46.37, 57.46, 28.73
B, 100.36, 1.91, 47.74, 34.25, 200.72, 5.064
C, 52.48, 37.83, 87.12, 61.34, 104.96, 5.529
C, 80.95, 50.98, 78.57, 6.6, 161.9, 5.716
C, 4.9, 84.51, 84.57, 22.82, 9.8, 37.327
B, 93.85, 38.87, 54.02, 82.16, 187.7, 5.504
B, 10.37, 78.11, 82.33, 52.55, 20.74, 18.258
A, 98.6, 63.53, 38.47, 97.45, 197.2, 98.6
C, 96.58, 17.17, 28.21, 100.13, 193.16, 5.17
C, 8.49, 64.66, 20.6, 73.76, 16.98, 48.158
C, 60.39, 59.3, 36.79, 76.73, 120.78, 7.825
B, 19.29, 74.07, 52.45, 77.77, 38.58, 14.983
A, 7.88, 86.26, 27.54, 44.57, 15.76, 7.88
C, 83.76, 23.58, 47.76, 59.97, 167.52, 5.223
A, 98.52, 31.09, 15.4, 1.36, 197.04, 98.52
C, 76.2, 59.66, 65.28, 43.8, 152.4, 6.279
C, 36.99, 63.18, 90.42, 37.15, 73.98, 7.151
B, 51.13, 12.78, 53.38, 6.87, 102.26, 5.103
A, 83.21, 28.95, 34.96, 37.15, 166.42, 83.21
A, 22.82, 11.77, 23.42, 12.04, 45.64, 22.82
B, 3.99, 12.66, 13.9, 25.85, 7.98, 9.343
C, 32.95, 8.04, 7.09, 1.48, 65.9, 5.427
C, 46.42, 12.63, 5.99, 76.09, 92.84, 5.852
C, 45.85, 37.22, 20.54, 94.85, 91.7, 7.462
A, 17.54, 84.06, 22.38, 73.92, 35.08, 17.54
B, 59.4, 48.08, 41.7, 37.08, 118.8, 6.619
B, 40.48, 69.46, 48.73, 84.63, 80.96, 9.463
B, 41.64, 48.77, 23.41, 48.22, 83.28, 9.237
C, 62.47, 76.0, 86.33, 20.65, 124.94, 6.98
C, 100.23, 88.82, 12.7, 59.12, 200.46, 16.7
B, 7.98, 77.64, 44.11, 64.18, 15.96, 36.731
C, 14.13, 83.52, 17.12, 84.88, 28.26, 58.966
C, 81.56, 8.51, 4.56, 7.2, 163.12, 5.304
C, 63.36, 21.2, 27.94, 71.17, 126.72, 5.4
B, 48.79, 57.1, 46.0, 88.84, 97.58, 7.58
C, 93.18, 93.15, 69.62, 12.86, 186.36, 7.543
A, 89.15, 85.54, 45.17, 34.39, 178.3, 89.15
C, 34.96, 19.19, 63.13, 29.59, 69.92, 5.269
B, 23.9, 14.08, 68.69, 53.25, 47.8, 5.206
C, 46.47, 62.83, 53.66, 86.49, 92.94, 7.849
C, 76.07, 43.99, 84.54, 23.13, 152.14, 5.517
B, 34.13, 11.65, 13.36, 44.6, 68.26, 5.453
B, 25.65, 16.98, 66.53, 13.75, 51.3, 5.276
B, 13.07, 8.49, 20.94, 96.43, 26.14, 5.452
C, 34.44, 96.55, 46.16, 58.87, 68.88, 16.203
B, 46.66, 91.2, 28.45, 50.22, 93.32, 16.874
C, 21.77, 16.37, 43.55, 3.17, 43.54, 5.449
A, 35.06, 22.81, 73.73, 30.13, 70.12, 35.06
B, 95.28, 34.61, 63.59, 29.16, 190.56, 5.33
C, 57.43, 5.35, 8.74, 12.28, 114.86, 5.126
B, 32.69, 5.04, 40.17, 67.74, 65.38, 5.09
C, 59.27, 8.3, 78.81, 80.99, 118.54, 5.042
B, 20.06, 70.1, 77.59, 43.63, 40.12, 10.77
A, 4.91, 88.72, 98.07, 43.19, 9.82, 4.91
A, 46.48, 53.69, 4.69, 42.64, 92.96, 46.48
B, 53.64, 82.17, 32.33, 78.71, 107.28, 12.271
B, 13.07, 69.64, 70.9, 78.47, 26.14, 14.555
C, 79.3, 26.71, 2.34, 79.26, 158.6, 11.142
B, 10.56, 82.77, 11.8, 90.53, 21.12, 107.757
B, 37.79, 89.31, 49.66, 78.43, 75.58, 13.032
B, 58.38, 59.83, 85.72, 72.42, 116.76, 6.28
A, 20.19, 64.41, 84.75, 55.73, 40.38, 20.19
A, 97.65, 5.36, 13.68, 37.78, 195.3, 97.65
A, 42.45, 32.96, 19.34, 16.7, 84.9, 42.45
A, 51.52, 68.32, 81.48, 60.53, 103.04, 51.52
B, 58.74, 25.44, 90.18, 31.35, 117.48, 5.2
A, 20.52, 41.76, 78.6, 12.79, 41.04, 20.52
B, 18.75, 31.87, 19.85, 25.58, 37.5, 9.474
B, 68.72, 84.97, 99.29, 91.68, 137.44, 6.987
C, 45.26, 5.52, 31.42, 73.2, 90.52, 5.073
C, 81.75, 20.22, 58.52, 54.65, 163.5, 5.138
B, 58.04, 15.5, 94.83, 90.68, 116.08, 5.076
A, 17.22, 65.0, 69.83, 25.41, 34.44, 17.22
A, 79.02, 63.14, 81.24, 37.96, 158.04, 79.02
B, 22.11, 14.48, 2.97, 38.14, 44.22, 9.716
A, 99.28, 70.31, 66.94, 79.5, 198.56, 99.28
B, 57.49, 20.88, 1.8, 48.85, 114.98, 11.513
C, 99.89, 54.42, 48.95, 96.79, 199.78, 6.069
C, 24.04, 4.08, 78.42, 54.43, 48.08, 5.116
B, 27.58, 81.14, 95.08, 100.0, 55.16, 9.683
C, 38.21, 54.73, 34.22, 29.5, 76.42, 9.043
C, 24.01, 84.95, 97.92, 32.25, 48.02, 10.762
B, 69.47, 63.37, 30.92, 91.53, 138.94, 8.367
C, 40.37, 14.07, 90.76, 59.03, 80.74, 5.097
A, 35.32, 74.25, 43.37, 14.96, 70.64, 35.32
B, 38.29, 73.47, 48.73, 73.56, 76.58, 10.32
B, 50.36, 74.26, 88.47, 72.38, 100.72, 7.281
A, 26.6, 84.02, 89.47, 34.17, 53.2, 26.6
A, 77.64, 36.01, 36.84, 43.81, 155.28, 77.64
B, 5.53, 40.21, 36.37, 73.46, 11.06, 18.609
C, 79.32, 24.81, 76.98, 75.21, 158.64, 5.164
C, 27.43, 41.42, 35.84, 2.82, 54.86, 7.966
C, 24.76, 5.96, 4.32, 14.72, 49.52, 5.534
A, 33.27, 13.45, 35.0, 9.56, 66.54, 33.27
B, 2.21, 19.33, 51.11, 95.52, 4.42, 10.266
A, 98.24, 48.2, 16.12, , 196.48, 98.24
A, 8.01, 51.74, 71.11, 38.25, 16.02, 8.01
B, 52.57, 45.02, 59.75, 94.36, 105.14, 6.111
B, 22.07, 93.37, 26.88, 21.49, 44.14, 32.94
B, 3.41, 8.1, 57.12, 58.33, 6.82, 5.817
A, 78.37, 49.34, 32.19, 35.07, 156.74, 78.37
B, 61.45, 52.53, 35.59, 68.59, 122.9, 7.214
C, 94.42, 1.32, 34.33, 11.29, 188.84, 5.103
C, 54.25, 44.75, 12.22, 65.41, 108.5, 10.18
B, 40.67, 100.64, 13.94, 41.94, 81.34, 39.326
C, 66.95, 93.52, 82.94, 16.39, 133.9, 7.996
B, 40.07, 7.6, 90.84, 11.62, 80.14, 5.055
B, 79.13, 59.71, 10.35, 60.19, 158.26, 12.771
A, 36.51, 30.54, 56.09, 82.92, 73.02, 36.51
C, 77.27, 52.92, 92.92, 80.27, 154.54, 5.687
C, 10.07, 76.94, 69.98, 17.47, 20.14, 20.55
B, 18.68, 6.06, 25.7, 21.05, 37.36, 5.193
B, 12.37, 1.46, 41.69, 8.02, 24.74, 5.574
C, 35.21, 7.98, 78.31, 44.97, 70.42, 5.068
B, 11.84, 55.22, 49.62, 94.18, 23.68, 14.175
C, 79.29, 72.57, 24.54, 37.78, 158.58, 9.967
A, 92.74, 58.99, 86.39, 16.67, 185.48, 92.74
B, 14.31, 55.64, 10.42, 19.16, 28.62, 41.692
A, 19.76, 60.95, 10.91, 59.85, 39.52, 19.76
B, 65.71, 45.07, 55.77, 36.91, 131.42, 5.954
B, 55.18, 56.24, 29.48, 56.45, 110.36, 8.444
C, 76.9, 95.67, 30.15, 91.41, 153.8, 12.532
C, 47.51, 21.06, 42.59, 65.31, 95.02, 5.349
C, 96.97, 23.48, 95.06, 27.56, 193.94, 5.098
C, 99.5, 54.66, 27.3, 53.23, 199.0, 6.941
A, 89.64, 76.09, 60.33, 96.33, 179.28, 89.64
A, 52.81, 47.94, 64.15, 1.35, 105.62, 52.81
B, 52.09, 20.83, 89.48, 34.04, 104.18, 5.153
A, 50.91, 48.32, 32.47, 23.76, 101.82, 50.91
B, 81.86, 90.86, 15.9, 52.87, 163.72, 17.013
A, 66.3, 16.0, 60.25, 89.59, 132.6, 66.3
C, 94.29, 75.86, 59.33, 86.41, 188.58, 6.9
A, 94.07, 71.14, 97.06, 74.64, 188.14, 94.07
A, 18.5, 90.15, 67.72, 12.31, 37.0, 18.5
C, 70.67, 28.65, 80.64, 83.98, 141.34, 5.237
B, 37.94, 85.97, 47.13, 84.67, 75.88, 12.769
A, 71.11, 66.28, 64.18, 63.98, 142.22, 71.11
C, 71.11, 2.7, 60.65, 77.51, 142.22, 5.06
B, 19.64, 57.59, 24.44, 29.25, 39.28, 17.276
C, 3.81, 69.34, 17.52, 40.77, 7.62, 136.313
A, 74.52, 47.49, 48.58, 32.18, 149.04, 74.52
C, 47.65, 28.45, 63.58, 13.52, 95.3, 5.437
B, 56.36, 60.18, 11.73, 32.12, 112.72, 14.79
C, 63.51, 13.54, 77.44, 71.29, 127.02, 5.066
B, 95.44, 49.19, 49.02, 22.53, 190.88, 5.9
C, 38.61, 27.16, 50.46, 69.74, 77.22, 5.615
C, 72.91, 18.46, 89.88, 34.29, 145.82, 5.087
A, 34.05, 72.31, 12.85, 20.23, 68.1, 34.05
A, 5.91, 30.64, 20.31, 40.13, 11.82, 5.91
A, 26.55, 63.52, 88.3, 15.99, 53.1, 26.55
C, 30.43, 34.34, 63.11, 52.11, 60.86, 6.023
C, 64.85, 42.68, 12.66, 68.3, 129.7, 8.781
C, 50.95, 12.68, 50.27, 35.68, 101.9, 5.107
A, 100.21, 68.83, 29.0, 7.13, 200.42, 100.21
A, 26.24, 59.87, 94.58, 54.91, 52.48, 26.24
B, 26.68, 5.14, 89.34, 84.66, 53.36, 5.089
C, 3.05, 19.91, 99.76, 42.71, 6.1, 7.155
A, 86.93, 63.12, 49.52, 78.1, 173.86, 86.93
A, 18.87, 82.16, 93.76, 18.27, 37.74, 18.87
C, 72.39, 81.14, 99.29, 96.04, 144.78, 6.709
C, 80.42, 34.65, 50.93, 3.26, 160.84, 5.488
C, 78.05, 16.44, 12.47, 74.33, 156.1, 5.425
B, 38.98, 92.07, 57.7, 34.49, 77.96, 12.153
A, 83.92, 86.46, 17.46, 38.25, 167.84, 83.92
B, 64.37, 7.37, 97.34, 21.32, 128.74, 5.034
C, 46.75, 52.92, 9.58, 79.03, 93.5, 15.974
A, 34.48, 37.21, 42.53, 91.37, 68.96, 34.48
A, 76.81, 48.34, 98.95, 16.08, 153.62, 76.81
C, 94.09, 97.45, 16.41, 14.12, 188.18, 16.764
A, 99.15, 97.15, 45.17, 64.78, 198.3, 99.15
B, 100.2, 81.81, 32.28, 63.77, 200.4, 8.862
B, 29.31, 81.2, 29.7, 90.78, 58.62, 19.121
A, 58.35, 46.21, 48.98, 12.37, 116.7, 58.35
C, 19.51, 52.73, 6.26, 12.92, 39.02, 44.926
A, 33.62, 38.39, 40.82, 27.98, 67.24, 33.62
C, 23.46, 60.43, 79.08, 38.42, 46.92, 8.525
A, 67.89, 51.87, 43.01, 94.83, 135.78, 67.89
C, 69.57, 91.69, 37.19, 49.93, 139.14, 11.163
C, 79.24, 67.65, 97.16, 93.87, 158.48, 6.082
B, 62.39, 17.43, 53.98, 50.54, 124.78, 5.145
A, 2.81, 51.6, 37.65, 4.43, 5.62, 2.81
A, 15.08, 9.74, 5.74, 74.7, 30.16, 15.08
A, 3.75, 37.98, 100.81, 7.16, 7.5, 3.75
B, 41.8, 90.76, 80.5, 68.19, 83.6, 9.638
C, 47.93, 55.79, 75.94, 80.21, 95.86, 6.515
B, 21.67, 38.45, 43.07, 82.19, 43.34, 7.668
A, 8.31, 32.23, 52.6, 90.64, 16.62, 8.31
B, 60.19, 22.33, 19.73, 32.84, 120.38, 5.662
C, 77.0, 68.22, 71.3, 21.13, 154.0, 6.543
A, 39.62, 87.48, 24.03, 96.99, 79.24, 39.62
C, 70.85, 86.04, 32.77, 46.81, 141.7, 10.993
B, 39.54, 6.77, 81.41, 64.32, 79.08, 5.058
B, 63.53, 43.25, 89.24, 62.04, 127.06, 5.566
A, 44.56, 73.92, 97.28, 93.68, 89.12, 44.56
B, 47.39, 82.91, 26.56, 95.45, 94.78, 15.211
